long,lat,nombre_centro,calle,altura,piso_dpto,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.381791,-34.617597,UPSA - VOLAR,AV. INDEPENDENCIA ,1111,,Monserrat,1,1099,C1099AAL
-58.391271,-34.607910,TIEMPO DE ENCUENTRO   ,BARTOLOME MITRE ,1741,,San Nicolas,1,1037,C1037ABG
-58.375528,-34.622967,NUEVOS HORIZONTES,CHACABUCO ,1294,,San Telmo,1,1140,C1140AAB
-58.375627,-34.621723,EL PORVENIR DE SAN TELMO,CHACABUCO ,1174,,San Telmo,1,1069,C1069AAX
-58.385163,-34.623580,BIENVENIDOS,COCHABAMBA ,1360,,Constitución,1,1150,C1150AAX
-58.379144,-34.618551,APEJURA ASOC DE PENS Y JUB DE LA REPUBLICA ARGENTINA ASOCIACION CIVIL,ESTADOS UNIDOS ,924,,Constitución,1,1101,C1101AAT
-58.372144,-34.624206,SAN PEDRO TELMO,GARAY  JUAN DE AV. ,463,,San Telmo,1,1153,C1153ABC
-58.383009,-34.623487,ASOC CIVIL CENTRO DE JUB GASTRONOMICOS,SALTA ,1301,,Constitución,1,1137,C1137ACC
-58.386195,-34.611590,18 DE ABRIL,SAN JOSE ,243,,Monserrat,1,1076,C1076AAE
,,MIS MEJORES AÑOS,VIRREY CEBALLOS ,549,,Monserrat,1,,
-58.388987,-34.617263,LA PUESTA DEL SOL,VIRREY CEVALLOS ,742,,Monserrat,1,1077,C1077AAP
-58.403552,-34.587601,BARRIO NORTE,AUSTRIA ,2156,,Recoleta,2,1425,C1425EGJ
-58.414804,-34.579511,CENTRO DE LA TERCERA EDAD MANANTIAL,CABELLO ,3958,,Palermo,14,1425,C1425APT
-58.412265,-34.599794,JARDIN DE LA AMISTAD,GALLO ,830,,Almagro,5,1172,C1172ABR
-58.407723,-34.620325,LA EXPERIENCIA,LA RIOJA ,847,,San Cristobal,3,1221,C1221ACG
-58.407365,-34.621772,HIPOLITO YRIGOYEN,LA RIOJA ,982,,San Cristobal,3,1221,C1221ACJ
-58.402508,-34.599549,RENOVACION,LARREA ,782,,Balvanera,3,1030,C1030AAP
-58.403736,-34.628248,ASOC CIVIL ARCO IRIS DE SAN CRISTOBAL,LUCA ESTEBAN DE ,1535,,San Cristobal,3,1246,C1246ABE
-58.466176,-34.606691,SIMONA VERON,MARGARI,1828,,Villa General Mitre,11,1416,C1416DYL
-58.394465,-34.612893,RINCON DE LA ALEGRIA,MORENO ,1986,,Balvanera,3,1094,C1094ABD
-58.406280,-34.621891,ALFREDO PICARDI,CARLOS CALVO ,2902,,San Cristobal,3,1230,C1230AAX
-58.396456,-34.629923,DOÑA ROSA,PICHINCHA ,1763,,Parque Patricios,4,1249,C1249ABK
-58.399305,-34.614826,JORGA SALOMÓN,PICHINCHA ,467,,Balvanera,3,1082,C1082ACI
-58.411257,-34.600400,CIUDAD DE BUENOS AIRES,TUCUMAN ,3231,,Balvanera,3,1189,C1189AAK
-58.410062,-34.656398,LOS DORADOS ANOS,ALBERTO EINSTEIN ,1022,,Nueva Pompeya,4,1437,C1437DXP
